"f_stop_max","lens_type","f_stop_min","lens_mount","dp_review_link","focal_length","dp_lens_detail_link","year_released","lens_brand","msrp","msrp__002","lens_name"
"F5–6.3","Zoom lens","F32–40","Canon EF, Nikon F (FX), Sony/Minolta Alpha","https://www.dpreview.com/reviews/tamron-150-600-5-6p3","150–600 ","https://www.dpreview.com/products/tamron/lenses/tamron_150-600_5-6p3_vc","","Tamron","656.15 ","905.91","Tamron SP 150-600mm F/5-6.3 Di VC USD"
"F2.8","Prime lens","F32","Canon EF, Nikon F (FX), Sony/Minolta Alpha","null","90 ","https://www.dpreview.com/products/tamron/lenses/tamron_90_2p8_vc","Sep 13, 2012","Tamron","275.39 ","718.49","Tamron SP 90mm F2.8 Di VC USD 1:1 Macro (F004)"
"F4–5.6","Zoom lens","F32–45","Canon EF, Nikon F (FX), Sony/Minolta Alpha","null","70–300 ","https://www.dpreview.com/products/tamron/lenses/tamron_70-300_4-5p6_di_vc_usd","Aug 10, 2010","Tamron","307.49 ","449.00","Tamron SP 70-300mm F/4-5.6 Di VC USD"
"F2.8","Prime lens","F32","Canon EF, Nikon F (FX), Sony/Minolta Alpha","null","90 ","https://www.dpreview.com/products/tamron/lenses/tamron_sp_90mm_2p8_di_vc_usd_macro","Feb 22, 2016","Tamron","649.00 ","706.03","Tamron SP 90mm F2.8 Di VC USD 1:1 Macro"
"F4–5.6","Zoom lens","F32–45","Sony/Minolta Alpha","null","70–300 ","https://www.dpreview.com/products/tamron/lenses/tamron_70-300_4-5p6_di_usd","Aug 10, 2010","Tamron","449.00","","Tamron SP 70-300mm F/4-5.6 Di USD"
"F1.8","Prime lens","F16","Canon EF, Nikon F (FX), Sony/Minolta Alpha","null","85 ","https://www.dpreview.com/products/tamron/lenses/tamron_sp_85mm_1p8_di_vc_usd","Feb 22, 2016","Tamron","749.00","","Tamron SP 85mm F1.8 Di VC USD"
"F1.8","Prime lens","F16","Canon EF, Nikon F (FX), Sony/Minolta Alpha","null","45 ","https://www.dpreview.com/products/tamron/lenses/tamron_sp_45_1p8_di_vc_usd","","Tamron","399.00 ","549.74","Tamron SP 45mm F1.8 Di VC USD"
"F2.8","Zoom lens","F32","Canon EF, Nikon F (FX), Sony/Minolta Alpha","null","70–200 ","https://www.dpreview.com/products/tamron/lenses/tamron_70-200_2p8_vc","Sep 13, 2012","Tamron","1,399.00","","Tamron SP 70-200mm F/2.8 Di VC USD"
"F1.8","Prime lens","F16","Canon EF, Nikon F (FX), Sony/Minolta Alpha","null","35 ","https://www.dpreview.com/products/tamron/lenses/tamron_sp_35_1p8_di_vc_usd","","Tamron","599.00","","Tamron SP 35mm F1.8 Di VC USD"
"F2.8–22","Zoom lens","F2.8–22","Canon EF, Nikon F (FX)","null","70–200 ","https://www.dpreview.com/products/tamron/lenses/tamron_sp_70-200_2p8_di_vc_usd_g2","","Tamron","","","Tamron SP 70-200mm F2.8 Di VC USD G2"
"F2.8","Zoom lens","F22","Canon EF, Nikon F (FX)","null","24–70 ","https://www.dpreview.com/products/tamron/lenses/tamron_24-70_2p8_di_vc_usd_g2","","Tamron","","","Tamron SP 24-70mm F2.8 Di VC USD G2"
"","Teleconverter","","Canon EF, Nikon F (FX)","null","","https://www.dpreview.com/products/tamron/lenses/tamron_pro1p4x","","Tamron","169.99 ","199.95","Tamron SP 1.4X Pro Teleconverter"
"","Teleconverter","","Canon EF, Nikon F (FX)","null","","https://www.dpreview.com/products/tamron/lenses/tamron_pro2x","","Tamron","236.00 ","332.82","Tamron SP 2X Pro Teleconverter"
"F4–5.6","Zoom lens","F32","Canon EF, Nikon F (FX), Pentax KAF, Sony/Minolta Alpha","null","70–300 ","https://www.dpreview.com/products/tamron/lenses/tamron_70-300_4-5p6_di","","Tamron","142.66 ","206.95","Tamron AF 70-300mm F/4-5.6 Di LD Macro"
